year,month,day,temperature,completeness
2018,5,20,30.0,C
2018,5,21,30.0,C
2018,5,22,29.9,C
2018,5,23,30.8,C
2018,5,24,29.6,C
2018,5,25,29.7,C
2018,5,26,30.3,C
2018,5,27,29.9,C
2018,5,28,30.4,C
2018,5,29,31.4,C
2018,5,30,31.2,C
2018,5,31,31.1,C
2018,6,1,29.9,C
2018,6,2,28.5,C
2018,6,3,28.9,C
2018,6,4,27.5,C
2018,6,5,26.8,C
2018,6,6,26.8,C
2018,6,7,26.7,C
2018,6,8,27.0,C
2018,6,9,28.4,C
2018,6,10,30.2,C
2018,6,11,30.4,C
2018,6,12,26.8,C
2018,6,13,26.0,C
2018,6,14,26.5,C
2018,6,15,26.7,C
2018,6,16,27.8,C
2018,6,17,28.2,C
2018,6,18,28.5,C
2018,6,19,28.8,C
2018,6,20,29.7,C
2018,6,21,29.7,C
2018,6,22,27.1,C
2018,6,23,26.5,C
2018,6,24,27.9,C
2018,6,25,27.8,C
2018,6,26,28.4,C
2018,6,27,28.1,C
2018,6,28,29.3,C
2018,6,29,29.8,C
2018,6,30,30.0,C
2018,7,1,29.8,C
2018,7,2,29.0,C
2018,7,3,28.9,C
2018,7,4,29.8,C
2018,7,5,29.3,C
2018,7,6,29.8,C
2018,7,7,28.4,C
2018,7,8,28.3,C
2018,7,9,28.1,C
2018,7,10,28.5,C
2018,7,11,29.7,C
2018,7,12,29.2,C
2018,7,13,26.2,C
2018,7,14,26.7,C
2018,7,15,26.3,C
2018,7,16,27.9,C
2018,7,17,29.7,C
2018,7,18,27.2,C
2018,7,19,27.8,C
2018,7,20,28.1,C
2018,7,21,29.3,C
2018,7,22,29.1,C
2018,7,23,28.2,C
2018,7,24,29.2,C
2018,7,25,29.3,C
2018,7,26,29.2,C
2018,7,27,29.0,C
2018,7,28,29.7,C
2018,7,29,29.9,C
2018,7,30,30.3,C
2018,7,31,30.2,C
2018,8,1,29.4,C
2018,8,2,29.5,C
2018,8,3,29.7,C
2018,8,4,29.5,C
2018,8,5,30.1,C
2018,8,6,29.5,C
2018,8,7,29.7,C
2018,8,8,29.5,C
2018,8,9,29.6,C
2018,8,10,26.8,C
2018,8,11,26.7,C
2018,8,12,26.6,C
2018,8,13,28.5,C
2018,8,14,27.3,C
2018,8,15,28.0,C
2018,8,16,27.2,C
2018,8,17,26.7,C
2018,8,18,28.2,C
2018,8,19,28.0,C
2018,8,20,27.3,C
2018,8,21,28.2,C
2018,8,22,28.3,C
2018,8,23,27.4,C
2018,8,24,29.0,C
2018,8,25,30.8,C
2018,8,26,28.4,C
2018,8,27,26.6,C
2018,8,28,25.9,C
2018,8,29,27.0,C
2018,8,30,27.4,C
2018,8,31,27.3,C
2018,9,1,25.6,C
2018,9,2,26.5,C
2018,9,3,27.6,C
2018,9,4,29.0,C
2018,9,5,29.3,C
2018,9,6,29.6,C
2018,9,7,29.0,C
2018,9,8,27.1,C
2018,9,9,26.7,C
2018,9,10,26.2,C
2018,9,11,28.6,C
2018,9,12,27.0,C
2018,9,13,27.6,C
2018,9,14,29.0,C
2018,9,15,30.9,C
2018,9,16,25.9,C
2018,9,17,27.2,C
2018,9,18,27.8,C
2018,9,19,28.7,C
2018,9,20,28.8,C
2018,9,21,29.2,C
2018,9,22,28.7,C
2018,9,23,28.9,C
2018,9,24,26.7,C
2018,9,25,26.7,C
2018,9,26,26.3,C
2018,9,27,26.7,C
2018,9,28,27.1,C
2018,9,29,27.0,C
2018,9,30,27.1,C
2018,10,1,26.6,C
2018,10,2,26.5,C
2018,10,3,26.0,C
2018,10,4,26.6,C
2018,10,5,26.3,C
2018,10,6,26.3,C
2018,10,7,26.5,C
2018,10,8,26.3,C
2018,10,9,25.6,C
2018,10,10,24.1,C
2018,10,11,22.3,C
2018,10,12,23.0,C
2018,10,13,24.1,C
2018,10,14,24.7,C
2018,10,15,25.0,C
2018,10,16,23.8,C
2018,10,17,22.6,C
2018,10,18,21.9,C
2018,10,19,23.7,C
2018,10,20,23.6,C
2018,10,21,24.5,C
2018,10,22,24.4,C
2018,10,23,24.7,C
2018,10,24,24.8,C
2018,10,25,25.1,C
2018,10,26,26.3,C
2018,10,27,24.9,C
2018,10,28,24.1,C
2018,10,29,25.2,C
2018,10,30,25.2,C
2018,10,31,24.3,C
2018,11,1,23.6,C
2018,11,2,21.3,C
2018,11,3,21.1,C
2018,11,4,23.3,C
2018,11,5,24.3,C
2018,11,6,24.6,C
2018,11,7,25.0,C
2018,11,8,25.2,C
2018,11,9,24.1,C
2018,11,10,23.4,C
2018,11,11,23.5,C
2018,11,12,24.6,C
2018,11,13,23.8,C
2018,11,14,23.2,C
2018,11,15,22.6,C
2018,11,16,23.5,C
2018,11,17,23.0,C
2018,11,18,23.6,C
2018,11,19,23.4,C
2018,11,20,22.6,C
2018,11,21,24.3,C
2018,11,22,19.7,C
2018,11,23,20.6,C
2018,11,24,21.3,C
2018,11,25,18.8,C
2018,11,26,18.7,C
2018,11,27,20.1,C
2018,11,28,19.9,C
2018,11,29,21.3,C
2018,11,30,21.5,C
2018,12,1,22.2,C
2018,12,2,22.5,C
2018,12,3,24.0,C
2018,12,4,25.1,C
2018,12,5,22.9,C
2018,12,6,23.1,C
2018,12,7,20.1,C
2018,12,8,16.6,C
2018,12,9,15.8,C
2018,12,10,16.2,C
2018,12,11,17.2,C
2018,12,12,13.4,C
2018,12,13,14.6,C
2018,12,14,15.8,C
2018,12,15,18.8,C
2018,12,16,18.7,C
2018,12,17,17.5,C
2018,12,18,17.8,C
2018,12,19,19.8,C
2018,12,20,21.9,C
2018,12,21,22.7,C
2018,12,22,22.4,C
2018,12,23,19.3,C
2018,12,24,17.1,C
2018,12,25,19.2,C
2018,12,26,21.1,C
2018,12,27,19.9,C
2018,12,28,17.1,C
2018,12,29,12.6,C
2018,12,30,11.4,C
2018,12,31,11.8,C
